_NAME_,_PRICE_,_CUSINE_CATEGORY_,_CITY_,_REGION_,_URL_,_PAGE_NO_,_CUSINE_TYPE_,_TIMING_,_RATING_TYPE_,_RATING_,_VOTES_
"""Tech Kitchen""","""300""","""Fast Food""","""Ahmedabad""","""Kankaria""","""https://www.zomato.com/ahmedabad/tech-kitchen-1-kankaria/info""","""155""","""Quick Bites""","""7pm to 12midnight(Mon-Sat),11am to 12midnight(Sun)""","""Average""","""3.3""","""9"""
"""Rajasthan Bhavna - The Restaurant""","""450""","""North Indian,Gujarati""","""Ahmedabad""","""Gota""","""https://www.zomato.com/ahmedabad/rajasthan-bhavna-the-restaurant-gota/info""","""155""","""Dhaba""","""11am to 2am(Mon-Sun)""","""Average""","""3.1""","""7"""
"""Am2Pm Paratha Palace""","""200""","""North Indian""","""Ahmedabad""","""Bodakdev""","""https://www.zomato.com/ahmedabad/am2pm-paratha-palace-bodakdev/info""","""155""","""Quick Bites""","""7pm to 1am(Mon-Sun)""","""Average""","""3.2""","""8"""
"""Night Khana Jugaad""","""200""","""North Indian,Chinese""","""Ahmedabad""","""Vejalpur""","""https://www.zomato.com/ahmedabad/night-khana-jugaad-vejalpur/info""","""155""","""none""","""7pm to 2am(Mon-Sun)""","""None""","""NEW""","""NEW"""
"""Suhani Ice Cream Parlour""","""250""","""Ice Cream,Beverages""","""Ahmedabad""","""Gota""","""https://www.zomato.com/ahmedabad/suhani-ice-cream-parlour-gota/info""","""155""","""Dessert Parlor""","""7am to 1pm,4pm to 12midnight(Mon-Sun)""","""Average""","""3.0""","""6"""
"""The Late Night Food""","""250""","""Chinese,Fast Food""","""Ahmedabad""","""Ellis Bridge""","""https://www.zomato.com/ahmedabad/the-late-night-food-ellis-bridge/info""","""155""","""Quick Bites""","""7pm to 4am(Mon-Sun)""","""Average""","""3.2""","""10"""
"""Ganesh Bhajipav & Pulav""","""200""","""Fast Food""","""Ahmedabad""","""Gota""","""https://www.zomato.com/ahmedabad/ganesh-bhajipav-pulav-gota/info""","""155""","""Food Court""","""6pm to 3am(Mon-Sun)""","""Average""","""3.1""","""7"""
"""Indian Zaayka""","""300""","""North Indian,Chinese""","""Ahmedabad""","""Chandkheda""","""https://www.zomato.com/ahmedabad/indian-zaayka-chandkheda/info""","""155""","""Quick Bites""","""1130am to 330pm,7pm to 1130pm(Mon-Sun)""","""None""","""NEW""","""NEW"""
"""Urban Turban""","""300""","""North Indian""","""Ahmedabad""","""Isanpur""","""https://www.zomato.com/ahmedabad/urban-turban-isanpur/info""","""155""","""none""","""1130am to 330pm,630pm to 1115pm(Mon-Sun)""","""None""","""NEW""","""NEW"""
"""Raisin Express""","""400""","""Mexican,Italian""","""Ahmedabad""","""Bodakdev""","""https://www.zomato.com/ahmedabad/raisin-express-1-bodakdev/info""","""155""","""none""","""630pm to 1230AM(Mon-Sun)""","""Average""","""3.2""","""9"""
"""The Cafe Night""","""300""","""Fast Food""","""Ahmedabad""","""Vejalpur""","""https://www.zomato.com/ahmedabad/the-cafe-night-vejalpur/info""","""155""","""none""","""10pm to 5am(Mon-Sun)""","""Average""","""3.0""","""8"""
"""AREA 51 Food Lab""","""450""","""North Indian,Mughlai,Lebanese""","""Ahmedabad""","""Prahlad Nagar""","""https://www.zomato.com/ahmedabad/area-51-food-lab-prahlad-nagar/info""","""155""","""Quick Bites""","""5pm to 1am(Mon-Sun)""","""Average""","""3.1""","""6"""
"""Aarya's Grill""","""350""","""Sandwich,Fast Food,Mexican""","""Ahmedabad""","""SBR Social-- Bodakdev""","""https://www.zomato.com/ahmedabad/aaryas-grill-bodakdev/info""","""155""","""Food Court""","""7pm to 12midnight(Mon-Sun)""","""Average""","""3.1""","""5"""
"""Nanak's Bambukat""","""400""","""Fast Food""","""Ahmedabad""","""Bopal""","""https://www.zomato.com/ahmedabad/nanaks-bambukat-bopal/info""","""156""","""Quick Bites""","""12midnight to 5am,5pm to 12midnight(Mon-Sun)""","""Average""","""3.3""","""8"""
"""Bake Estate""","""300""","""Desserts""","""Ahmedabad""","""Bopal""","""https://www.zomato.com/ahmedabad/bake-estate-bopal/info""","""156""","""none""","""8pm to 3am(Mon-Sun)""","""Average""","""3.1""","""5"""
"""Desi Kitchen""","""300""","""Gujarati""","""Ahmedabad""","""Ghatlodia""","""https://www.zomato.com/ahmedabad/desi-kitchen-ghatlodia/info""","""156""","""none""","""11am to 3am(Mon-Sun)""","""Average""","""3.1""","""5"""
"""Dr Eggs""","""200""","""Street Food""","""Ahmedabad""","""Shahibagh""","""https://www.zomato.com/ahmedabad/dr-eggs-shahibagh/info""","""156""","""Quick Bites""","""930am to 1130am,6pm to 12midnight(Mon-Sun)""","""Average""","""3.1""","""6"""
"""Hungry Bhookh""","""400""","""Fast Food""","""Ahmedabad""","""Prahlad Nagar""","""https://www.zomato.com/ahmedabad/hungry-bhookh-prahlad-nagar/info""","""156""","""Quick Bites""","""11am to 3am(Mon-Sun)""","""Not rated""","""-""","""-"""
"""Mor n Rich""","""250""","""Desserts""","""Ahmedabad""","""Vastrapur""","""https://www.zomato.com/ahmedabad/mor-n-rich-2-vastrapur/info""","""156""","""Dessert Parlor""","""11am to 12midnight(Mon-Sun)""","""Average""","""3.1""","""6"""
"""Lucknowi Laziz""","""550""","""North Indian""","""Ahmedabad""","""Odhav""","""https://www.zomato.com/ahmedabad/lucknowi-laziz-1-odhav/info""","""156""","""Casual Dining""","""12noon to 1130pm(Mon-Sun)""","""Average""","""3.2""","""9"""
"""Ching's Biryani""","""450""","""Mughlai,Biryani""","""Ahmedabad""","""Isanpur""","""https://www.zomato.com/ahmedabad/chings-biryani-isanpur/info""","""156""","""none""","""11am to 3pm,6pm to 4am(Mon-Sun)""","""Average""","""2.9""","""10"""
"""Burger Corner""","""450""","""Fast Food""","""Ahmedabad""","""Shahibagh""","""https://www.zomato.com/ahmedabad/burger-corner-shahibagh/info""","""156""","""Quick Bites""","""1030am to 1130pm(Mon-Sun)""","""Average""","""2.8""","""10"""
"""Angel Restaurant""","""600""","""North Indian,Chinese""","""Ahmedabad""","""Sarkhej""","""https://www.zomato.com/ahmedabad/angel-restaurant-sarkhej/info""","""156""","""Casual Dining""","""12noon to 3pm,6pm to 12midnight(Mon-Sun)""","""Average""","""3.1""","""5"""
"""Taste Buds""","""300""","""Fast Food""","""Ahmedabad""","""Paldi""","""https://www.zomato.com/ahmedabad/taste-buds-paldi/info""","""156""","""none""","""1030pm to 330am(Mon-Sun)""","""Average""","""3.0""","""9"""
"""The Sandwich Social""","""400""","""Sandwich,Fast Food""","""Ahmedabad""","""The Spicy Street Road-- Airport Gandhinagar Highway""","""https://www.zomato.com/ahmedabad/the-sandwich-social-airport-gandhinagar-highway-gandhinagar/info""","""156""","""Food Court""","""12noon to 12midnight(Mon-Sun)""","""Average""","""3.1""","""4"""
"""Hunger Games""","""350""","""Fast Food""","""Ahmedabad""","""Ambavadi""","""https://www.zomato.com/ahmedabad/hunger-games-ambavadi/info""","""156""","""Quick Bites""","""830pm to 3am(Mon-Sun)""","""Average""","""3.2""","""8"""
"""NAWABISH""","""500""","""North Indian,Biryani,Kebab,Mughlai""","""Ahmedabad""","""Bopal""","""https://www.zomato.com/nawabish-food-truck/info""","""156""","""Quick Bites""","""12noon to 1130pm(Mon-Thu),3pm to 12midnight...""","""Average""","""2.9""","""6"""
"""Rangoli Ice Cream""","""300""","""Ice Cream,Beverages""","""Ahmedabad""","""Nikol""","""https://www.zomato.com/ahmedabad/rangoli-ice-cream-1-nikol/info""","""156""","""Dessert Parlor""","""10am to 12midnight(Mon-Sun)""","""None""","""NEW""","""NEW"""
"""Social Lounge""","""450""","""Fast Food,Beverages""","""Ahmedabad""","""SBR Social-- Bodakdev""","""https://www.zomato.com/ahmedabad/social-lounge-bodakdev/info""","""157""","""Food Court""","""7pm to 12midnight(Mon-Sun)""","""Not rated""","""-""","""-"""
"""Nachos N More""","""350""","""Mexican,Fast Food""","""Ahmedabad""","""SBR Social-- Bodakdev""","""https://www.zomato.com/ahmedabad/nachos-n-more-bodakdev/info""","""157""","""Food Court""","""7pm to 12midnight(Mon-Sun)""","""Average""","""3.3""","""4"""
