_NAME_,_PRICE_,_CUSINE_CATEGORY_,_CITY_,_REGION_,_URL_,_PAGE_NO_,_CUSINE_TYPE_,_TIMING_,_RATING_TYPE_,_RATING_,_VOTES_
"""Juice Bar""","""250""","""Fast Food,Desserts""","""Chandigarh""","""Kharar Road""","""https://www.zomato.com/chandigarh/juice-bar-kharar-road-mohali/info""","""103""","""Beverage Shop""","""9am to 10pm(Mon-Sun)""","""Average""","""3.2""","""16"""
"""Kenny Rogers Roasters""","""700""","""American""","""Chandigarh""","""Elante Mall-- Chandigarh Industrial Area""","""https://www.zomato.com/chandigarh/kenny-rogers-roasters-chandigarh-industrial-area/info""","""103""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Good""","""3.9""","""46"""
"""Noorani Dhaba""","""400""","""North Indian,Mughlai""","""Chandigarh""","""Sector 26-- Chandigarh""","""https://www.zomato.com/chandigarh/noorani-dhaba-sector-26/info""","""103""","""Dhaba""","""11am to 11pm(Mon-Sun)""","""Average""","""3.2""","""29"""
"""Healthy Eating""","""200""","""Salad,Healthy Food""","""Chandigarh""","""Manimajra""","""https://www.zomato.com/chandigarh/healthy-eating-manimajra/info""","""104""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Average""","""2.8""","""30"""
"""La Punjabi Dhaba""","""300""","""North Indian,Chinese""","""Chandigarh""","""Sector 19-- Panchkula""","""https://www.zomato.com/chandigarh/la-punjabi-dhaba-sector-19-panchkula/info""","""104""","""Quick Bites""","""9am to 11pm(Mon-Sun)""","""Average""","""3.2""","""18"""
"""Shama Dhaba""","""150""","""Biryani,North Indian""","""Chandigarh""","""Ambala Road""","""https://www.zomato.com/chandigarh/shama-dhaba-ambala-road-zirakpur/info""","""104""","""Quick Bites""","""9am to 11pm(Mon-Sun)""","""Average""","""2.9""","""5"""
"""Chaat Studio""","""300""","""Fast Food,Chinese,North Indian""","""Chandigarh""","""Sector 67-- Mohali""","""https://www.zomato.com/chandigarh/chaat-studio-sector-67-mohali/info""","""104""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Average""","""3.2""","""23"""
"""Laziz Pizza""","""400""","""Fast Food,Pizza""","""Chandigarh""","""Nayagaon""","""https://www.zomato.com/chandigarh/laziz-pizza-nayagaon-nayagaon/info""","""104""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Average""","""2.8""","""52"""
"""Pizza On Horsley""","""500""","""Pizza,Fast Food""","""Chandigarh""","""VIP Road""","""https://www.zomato.com/chandigarh/pizza-on-horsley-vip-road-zirakpur/info""","""104""","""Café""","""12noon to 11pm(Mon-Sun)""","""Average""","""3.3""","""56"""
"""Dosa Corner""","""150""","""South Indian""","""Chandigarh""","""Phase 3-- Mohali""","""https://www.zomato.com/chandigarh/dosa-corner-phase-3-mohali/info""","""104""","""Quick Bites""","""10am to 930pm(Mon-Sun)""","""Average""","""3.4""","""45"""
"""Poshan Foods""","""250""","""Street Food,North Indian""","""Chandigarh""","""Kharar Road""","""https://www.zomato.com/chandigarh/poshan-foods-kharar-road-mohali/info""","""104""","""Quick Bites""","""9am to 11pm(Mon-Sun)""","""Average""","""3.2""","""12"""
"""Soya Soya""","""300""","""North Indian,Rolls""","""Chandigarh""","""Phase 7-- Mohali""","""https://www.zomato.com/chandigarh/soya-soya-phase-7-mohali/info""","""104""","""none""","""9am to 11pm(Mon-Sun)""","""Not rated""","""-""","""-"""
"""Yanky Family Dhaba""","""400""","""North Indian,Chinese""","""Chandigarh""","""Chandigarh Industrial Area""","""https://www.zomato.com/chandigarh/yanky-family-dhaba-chandigarh-industrial-area/info""","""104""","""none""","""NA""","""Average""","""3.0""","""7"""
"""Ice Cream Factory""","""200""","""Desserts""","""Chandigarh""","""Phase 9-- Mohali""","""https://www.zomato.com/chandigarh/ice-cream-factory-phase-9-mohali/info""","""104""","""Dessert Parlor""","""11am to 11pm(Mon-Sun)""","""Not rated""","""-""","""-"""
"""Mughlai Rasoi""","""600""","""North Indian,Mughlai""","""Chandigarh""","""Phase 5-- Mohali""","""https://www.zomato.com/chandigarh/mughlai-rasoi-phase-5-mohali/info""","""104""","""none""","""12noon to 5pm,6pm to 1045pm(Mon-Sat),12noon to ...""","""Good""","""3.8""","""256"""
"""Thali Junction""","""500""","""North Indian""","""Chandigarh""","""Dhakoli""","""https://www.zomato.com/chandigarh/thali-junction-dhakoli-zirakpur/info""","""104""","""Quick Bites""","""11am to 11pm(Mon-Sat),Closed(Sun)""","""Average""","""3.1""","""9"""
"""Aussie Pizza & Cafe""","""600""","""Italian,Pizza""","""Chandigarh""","""Sector 16-- Panchkula""","""https://www.zomato.com/chandigarh/aussie-pizza-cafe-sector-16-panchkula/info""","""104""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Average""","""2.9""","""39"""
"""Cafe Down Under""","""400""","""Continental,Beverages,Fast Food,Sandwich,Italian,Pizza,Wraps""","""Chandigarh""","""Sector 32-- Chandigarh""","""https://www.zomato.com/chandigarh/cafe-down-under-sector-32/info""","""104""","""Quick Bites""","""11am to 930pm(Mon-Sun)""","""Good""","""3.8""","""93"""
"""Daana Pani""","""300""","""Fast Food""","""Chandigarh""","""Manimajra""","""https://www.zomato.com/chandigarh/daana-pani-manimajra/info""","""105""","""Quick Bites""","""11am to 1030pm(Mon-Sun)""","""Good""","""3.7""","""125"""
"""Postik Restaurant""","""700""","""North Indian""","""Chandigarh""","""Sector 19-- Panchkula""","""https://www.zomato.com/chandigarh/postik-restaurant-sector-19-panchkula/info""","""105""","""Casual Dining""","""11am to 11pm(Mon-Sun)""","""Average""","""3.2""","""86"""
"""Guru Nanak Hotel""","""300""","""North Indian""","""Chandigarh""","""Sector 67-- Mohali""","""https://www.zomato.com/chandigarh/guru-nanak-hotel-sector-67-mohali/info""","""105""","""Quick Bites""","""8am to 1030pm(Mon-Sun)""","""Average""","""3.1""","""9"""
"""Zodiac - Hotel Turquoise""","""2000""","""North Indian,Italian,Continental""","""Chandigarh""","""Hotel Turquoise-- Chandigarh Industrial Area""","""https://www.zomato.com/chandigarh/zodiac-hotel-turquoise-chandigarh-industrial-area/info""","""105""","""Fine Dining""","""7pm to 11pm(Mon-Sun)""","""Average""","""3.2""","""55"""
"""Goyal Juice & Ice Cream Parlor""","""200""","""Beverages,Fast Food""","""Chandigarh""","""Sector 38-- Chandigarh""","""https://www.zomato.com/chandigarh/goyal-juice-ice-cream-parlor-sector-38/info""","""105""","""Beverage Shop""","""930am to 11pm(Mon-Sun)""","""Average""","""3.2""","""39"""
"""Grapewine""","""1000""","""North Indian,Mughlai,Chinese""","""Chandigarh""","""Hotel Aroma-- Sector 22""","""https://www.zomato.com/chandigarh/grapewine-sector-22/info""","""105""","""Casual Dining""","""730am to 11pm(Mon-Sun)""","""Good""","""3.8""","""79"""
"""Chicken Lovers""","""650""","""North Indian,Chinese""","""Chandigarh""","""Kharar Road""","""https://www.zomato.com/chandigarh/chicken-lovers-kharar-road-mohali/info""","""105""","""Quick Bites""","""1130am to 11pm(Mon-Sun)""","""Good""","""3.5""","""81"""
"""Snacks Corner""","""150""","""Street Food,North Indian,Fast Food""","""Chandigarh""","""Sector 17-- Chandigarh""","""https://www.zomato.com/chandigarh/snacks-corner-sector-17/info""","""105""","""Quick Bites""","""11am to 9pm(Mon-Sun)""","""Average""","""3.3""","""39"""
"""Shiva Vaishno Dhaba""","""250""","""North Indian""","""Chandigarh""","""Sector 11-- Chandigarh""","""https://www.zomato.com/chandigarh/shiva-vaishno-dhaba-sector-11/info""","""105""","""Dhaba""","""12noon to 330pm,7pm to 1030pm(Mon-Sun)""","""Average""","""3.3""","""13"""
"""Bonfire Cafe and Restaurant""","""500""","""North Indian,Mughlai,Chinese,Continental""","""Chandigarh""","""Sector 71-- Mohali""","""https://www.zomato.com/chandigarh/bonfire-cafe-and-restaurant-sector-71-mohali/info""","""105""","""Casual Dining""","""12noon to 11pm(Mon-Sun)""","""Average""","""3.2""","""53"""
"""Quality Restaurant""","""300""","""Fast Food""","""Chandigarh""","""Ambala Road""","""https://www.zomato.com/chandigarh/quality-restaurant-ambala-road-zirakpur/info""","""105""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Average""","""3.2""","""13"""
"""Anna Dosa""","""200""","""South Indian""","""Chandigarh""","""Nayagaon""","""https://www.zomato.com/chandigarh/anna-dosa-nayagaon-nayagaon/info""","""105""","""Quick Bites""","""11am to 10pm(Mon-Sun)""","""None""","""NEW""","""NEW"""
"""Mom's Kitchen""","""200""","""Fast Food,North Indian""","""Chandigarh""","""Kharar Road""","""https://www.zomato.com/chandigarh/moms-kitchen-1-kharar-road-mohali/info""","""105""","""Quick Bites""","""9am to 1030pm(Mon-Sun)""","""Not rated""","""-""","""-"""
"""Top N Town For Hunger""","""250""","""Chinese,Fast Food""","""Chandigarh""","""Kharar Road""","""https://www.zomato.com/chandigarh/top-n-town-for-hunger-kharar-road-mohali/info""","""105""","""Quick Bites""","""9am to 9pm(Mon-Sun)""","""Good""","""3.5""","""42"""
"""Paul Sweets Dairy & Dhaba""","""350""","""North Indian,Mithai,Street Food""","""Chandigarh""","""Sector 27-- Chandigarh""","""https://www.zomato.com/chandigarh/paul-sweets-dairy-dhaba-sector-27/info""","""105""","""Quick Bites""","""8am to 1030pm(Mon-Sun)""","""Average""","""2.9""","""10"""
"""Mama's Kitchen""","""500""","""North Indian""","""Chandigarh""","""Sector 28-- Chandigarh""","""https://www.zomato.com/chandigarh/mamas-kitchen-sector-28/info""","""106""","""Quick Bites""","""12noon to 11pm(Mon-Sun)""","""Average""","""2.9""","""19"""
"""La Niner""","""500""","""American,Italian,Continental,Desserts""","""Chandigarh""","""Sector 37-- Chandigarh""","""https://www.zomato.com/chandigarh/la-niner-sector-37/info""","""106""","""Quick Bites""","""11am to 1030pm(Mon-Sun)""","""Good""","""3.6""","""76"""
"""Tinku White Crunchy Fish""","""400""","""North Indian""","""Chandigarh""","""Sector 22-- Chandigarh""","""https://www.zomato.com/chandigarh/tinku-white-crunchy-fish-sector-22/info""","""106""","""Quick Bites""","""5pm to 11pm(Mon-Sun)""","""Average""","""3.1""","""6"""
"""Wok Dis Way""","""300""","""North Indian,Chinese""","""Chandigarh""","""Sector 34-- Chandigarh""","""https://www.zomato.com/chandigarh/wok-dis-way-sector-34/info""","""106""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Average""","""3.4""","""78"""
"""The Lalit Chicken Corner""","""600""","""North Indian""","""Chandigarh""","""Phase 3-- Mohali""","""https://www.zomato.com/chandigarh/the-lalit-chicken-corner-phase-3-mohali/info""","""106""","""none""","""6pm to 11pm(Mon-Sun)""","""Average""","""3.1""","""10"""
"""Wild West Pub""","""800""","""North Indian""","""Chandigarh""","""Sector 35-- Chandigarh""","""https://www.zomato.com/chandigarh/wild-west-pub-sector-35/info""","""106""","""Casual Dining""","""11am to 11pm(Mon-Sun)""","""Average""","""3.4""","""45"""
