NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Daawat,300,"North Indian,Chinese,Rolls,Beverages",Bhopal,Maharana Pratap Nagar,Casual Dining,Good,3.8,324
HL Rooftop Restaurant,800,"Continental,North Indian",Bhopal,Arera Colony,Casual Dining,Good,3.5,21
Brown Sugar Cafe,400,"Cafe,Bakery",Bhopal,Gulmohar Colony,Café,Poor,2.1,74
Tea Friend's,100,"Tea,Fast Food,Bakery,Coffee",Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.5,22
Hide Away Grill,600,North Indian,Bhopal,Arera Colony,Casual Dining,Good,3.5,28
Hotel Sai Mahima,400,North Indian,Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.7,66
Truly Fresh,200,"Juices,Fast Food,Desserts,Beverages",Bhopal,Maharana Pratap Nagar,none,None,NEW,NEW
Laxmi Chinese Fast Food,150,"Chinese,North Indian",Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.5,20
Sindh Krishna Bakery,300,"Desserts,Fast Food",Bhopal,Kohefiza,Bakery,Average,3.4,25
Gyani de Chole Bhature,400,North Indian,Bhopal,BHEL,Quick Bites,Average,2.5,24
Air Kitchen Restaurant,600,"North Indian,Chinese,Fast Food",Bhopal,Maharana Pratap Nagar,Quick Bites,Good,3.5,16
The Momo Factory,200,Momos,Bhopal,Arera Colony,none,Average,3.3,8
Barbeque Corner,700,BBQ,Bhopal,Arera Colony,Casual Dining,Good,3.5,17
Mama Fruit Juice Bar since 1974,100,"Juices,Salad,Beverages",Bhopal,TT Nagar,Beverage Shop,Good,3.5,11
Hotel Aditya Palace,400,North Indian,Bhopal,Maharana Pratap Nagar,none,Average,3.3,14
Mizaz-e-Bhopal,300,"North Indian,Chinese",Bhopal,Jhangirabad,none,Average,3.2,21
Self Care,200,Healthy Food,Bhopal,Gulmohar Colony,none,Average,3.3,11
Aradhana,500,"Fast Food,North Indian",Bhopal,BHEL,Casual Dining,Average,3.4,9
Tea Friend's,250,"Cafe,Tea",Bhopal,TT Nagar,Café,Average,2.9,21
Monkey's Cafe & Grill,250,"Cafe,Fast Food",Bhopal,Maharana Pratap Nagar,Café,Average,3.3,14
