NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Namma Brahmin's Idli,100,South Indian,Bengaluru,Jayanagar,Quick Bites,Good,3.8,46
BITEBOX,300,"North Indian,Chinese,Mughlai,Desserts",Bengaluru,Marathahalli,Quick Bites,Very Good,4.3,197
Happy Endings,300,"Bakery,Desserts",Bengaluru,Ascendas Park Square-- Whitefield,Bakery,Very Good,4.1,184
Fishing Boat,300,"Kerala,South Indian,Chinese",Bengaluru,Yeshwantpur,Quick Bites,Very Good,4.0,98
Krispy Kreme,300,"Desserts,Beverages",Bengaluru,Phoenix Market City Mall-- Whitefield,Dessert Parlor,Very Good,4.0,136
Cafe Kaara,750,"Cafe,Salad,Desserts,Pizza",Bengaluru,Ulsoor,Café,Very Good,4.3,170
Shree Cool Point,150,"Fast Food,Street Food,Beverages",Bengaluru,Vijay Nagar,Quick Bites,Very Good,4.1,37
Woodfired Cafe,800,"Continental,Italian,Beverages",Bengaluru,Hennur,Casual Dining,Good,3.8,57
Mugs N Burgers,600,"Burger,Juices,Beverages,Fast Food,Cafe,Chinese,Coffee",Bengaluru,Brookefield,Café,Very Good,4.0,147
Savji's Roll 'N' Biryani,250,"North Indian,Chinese,Biryani,Rolls",Bengaluru,Vijay Nagar,Quick Bites,Very Good,4.0,448
Ambur Star Briyani,400,"Biryani,Chettinad,Chinese",Bengaluru,BTM,Quick Bites,Good,3.6,392
RB Food Point,300,"North Indian,Chinese",Bengaluru,BTM,Quick Bites,Very Good,4.0,70
The Lounge - Eden Park Restaurants,1350,"North Indian,Afghan",Bengaluru,Eden Park Restaurants,Lounge,Good,3.7,153
Khatta Meetha Teekha,300,Fast Food,Bengaluru,Nagawara,Quick Bites,Very Good,4.0,55
Kabab Manor,400,"North Indian,Kebab,Chinese,Fast Food",Bengaluru,RT Nagar,Quick Bites,Good,3.9,221
Real Fresh Dosa Corner,200,South Indian,Bengaluru,Brookefield,Quick Bites,Very Good,4.2,281
Raidan Restaurant,450,"Arabian,Chinese,North Indian",Bengaluru,Kammanahalli,Casual Dining,Good,3.9,271
Kuttanad Restaurant,400,"Kerala,North Indian",Bengaluru,Nagawara,Quick Bites,Good,3.9,257
The Krishna Grand,750,"North Indian,South Indian,Chinese,Fast Food,Juices",Bengaluru,Banashankari,Casual Dining,Good,3.9,914
Andhra Mess,400,"Andhra,Biryani,Chinese",Bengaluru,Domlur,Mess,Average,3.1,134
Thai House,700,Thai,Bengaluru,5th Avenue-- Brigade Road,Casual Dining,Very Good,4.2,133
Koylas,400,"Kebab,Mughlai,Biryani",Bengaluru,Brookefield,Quick Bites,Average,3.3,15
Binge On,300,"North Indian,Andhra,Biryani",Bengaluru,Sarjapur Road,Quick Bites,Average,3.4,11
Café Down The Alley,500,Cafe,Bengaluru,Banashankari,Café,Very Good,4.1,413
Vijayalakshmi,150,South Indian,Bengaluru,Basavanagudi,Quick Bites,Very Good,4.1,71
The Spice Saga,750,"Biryani,North Indian,Chinese,Seafood",Bengaluru,Kumaraswamy Layout,Casual Dining,Good,3.7,136
Davangere Benna Dose Hotel,100,South Indian,Bengaluru,Jayanagar,Quick Bites,Very Good,4.1,92
Still Sipping,800,"Cafe,Continental,Coffee",Bengaluru,HSR,Café,Good,3.9,48
Shakes Theory,300,"Beverages,Sandwich",Bengaluru,Jayanagar,Beverage Shop,Excellent,4.5,159
Hot Spot Cafe,150,"Cafe,Fast Food",Bengaluru,Domlur,Café,Average,3.4,25
Plantain Leaf,600,"Andhra,Chinese,North Indian,Biryani",Bengaluru,Thippasandra,Casual Dining,Good,3.9,534
Calicut Restaurant,450,"Kerala,South Indian,North Indian,Chinese",Bengaluru,Yeshwantpur,Casual Dining,Good,3.9,184
Kalinga Darbaar Rolls,150,Rolls,Bengaluru,Kengeri,Quick Bites,None,NEW,NEW
Taj Durbar,400,"North Indian,BBQ",Bengaluru,Jayanagar,Quick Bites,Good,3.8,96
Caffe Pascucci,950,"Cafe,Continental,Pizza,Italian,Beverages",Bengaluru,HSR,Café,Very Good,4.1,737
Mayonaise,500,"Cafe,Continental,Beverages",Bengaluru,Banaswadi,Café,Good,3.9,64
The Higher Taste,800,"Pizza,Biryani,North Indian,South Indian",Bengaluru,Rajajinagar,Casual Dining,Very Good,4.3,869
Sai Baba Restaurant,400,"North Indian,Chinese,Biryani",Bengaluru,Rajarajeshwari Nagar,Quick Bites,Good,3.8,432
Today Coffee,150,South Indian,Bengaluru,Electronic City,Quick Bites,Good,3.9,19
Matinee Bar & Kitchen,1700,"BBQ,Continental,North Indian,Pizza,European",Bengaluru,Marathahalli,Casual Dining,Very Good,4.2,362
Marenahalli Donne Biriyani,300,"Biryani,Fast Food",Bengaluru,JP Nagar,Quick Bites,Very Good,4.0,271
Harry's Bar + Cafe,1200,"Asian,American,Mexican",Bengaluru,Phoenix Market City Mall-- Whitefield,Pub,Very Good,4.1,1238
Cafe 99 Kerala Mess,500,"Kerala,Biryani,Seafood,North Indian",Bengaluru,Kalyan Nagar,Quick Bites,Very Good,4.0,199
Aahar Vihar,250,North Indian,Bengaluru,Marathahalli,Quick Bites,Very Good,4.0,96
The Biryani Shop,200,Biryani,Bengaluru,BTM,none,None,NEW,NEW
30 Square,400,"Tibetan,Nepalese,Momos",Bengaluru,Koramangala 5th Block,Quick Bites,Very Good,4.2,575
YORK St.,700,"Cafe,European,Continental",Bengaluru,Koramangala 5th Block,Café,Very Good,4.4,980
BLOW,750,"Cafe,Continental,American,Burger",Bengaluru,Church Street,Café,Very Good,4.2,999
Happy Brew,1000,"Continental,American,Chinese,BBQ,Salad",Bengaluru,Koramangala 5th Block,Lounge,Very Good,4.0,2206
Faasos,500,"North Indian,Biryani,Fast Food",Bengaluru,BTM,Quick Bites,Good,3.9,454
Cold Stone Creamery,400,"Ice Cream,Desserts",Bengaluru,Whitefield,Dessert Parlor,Very Good,4.2,524
Tata Cha,500,"Cafe,Fast Food,Beverages",Bengaluru,Indiranagar,Café,Very Good,4.0,699
Warm Oven,500,"Bakery,Desserts",Bengaluru,Kaggadasapura,Bakery,Good,3.9,68
Le Terrace Café,700,"Continental,Burger,Cafe,Italian,Chinese",Bengaluru,Nagarbhavi,Café,Very Good,4.2,455
99 Pancakes,300,"Desserts,Ice Cream",Bengaluru,Church Street,Dessert Parlor,Very Good,4.1,59
Oldtown Dilli,800,"Mughlai,North Indian,Turkish,Afghan",Bengaluru,Koramangala 4th Block,Casual Dining,Very Good,4.2,316
The Higher Taste,800,"Pizza,Biryani,North Indian,South Indian",Bengaluru,Rajajinagar,Casual Dining,Very Good,4.3,869
Annapoorani,500,South Indian,Bengaluru,Indiranagar,Casual Dining,Good,3.9,445
Snoopy Paws Cafe,600,Cafe,Bengaluru,Yelahanka,Café,None,NEW,NEW
Khazana Food Paradise,400,"North Indian,Biryani",Bengaluru,Richmond Road,Quick Bites,Very Good,4.2,371
Delicacy,500,"Chinese,Thai,Momos",Bengaluru,Kalyan Nagar,Casual Dining,Very Good,4.1,451
Lazeez,600,"North Indian,Mughlai,Biryani",Bengaluru,Koramangala 5th Block,Casual Dining,Average,3.1,913
Auntie Fung's,600,"Asian,Chinese",Bengaluru,New BEL Road,Casual Dining,Very Good,4.2,589
Not Just Waffles,400,"Desserts,Ice Cream",Bengaluru,Brookefield,Dessert Parlor,Very Good,4.1,131
KHOPCHA,200,"Fast Food,Rolls,Kebab",Bengaluru,Sahakara Nagar,none,Very Good,4.1,162
Paratha House,350,"North Indian,Chinese",Bengaluru,Electronic City,Quick Bites,Good,3.7,52
The Waffcake Legacy,350,"Desserts,Street Food,Sandwich,Beverages",Bengaluru,Marathahalli,Dessert Parlor,Very Good,4.0,189
Momo N Cafe,300,"Chinese,Momos",Bengaluru,Hennur,Quick Bites,Good,3.8,167
Gorbandh,400,"Fast Food,North Indian",Bengaluru,BTM,Quick Bites,Very Good,4.1,91
Udupi Aatithya,300,"South Indian,North Indian,Chinese",Bengaluru,Bellandur,Quick Bites,Very Good,4.0,93
Hotel Kadamba Veg,450,"South Indian,North Indian,Chinese,Street Food,Juices",Bengaluru,Rajajinagar,Casual Dining,Good,3.8,349
Jus' Trufs,850,"Desserts,Cafe,Pizza,Burger",Bengaluru,Sahakara Nagar,Dessert Parlor,Very Good,4.0,559
Udupi Ruchi,200,"South Indian,North Indian,Chinese,Street Food",Bengaluru,Bellandur,Quick Bites,Good,3.8,248
Avista Cafe Pizzeria,650,"Cafe,Italian",Bengaluru,Hennur,Café,Excellent,4.5,516
Kabab Mehal,500,"North Indian,Chinese,Mughlai,Rolls,Juices",Bengaluru,Kanakapura Road,Casual Dining,Good,3.9,227
Salem Kitchen,550,"Chettinad,Chinese,South Indian",Bengaluru,Brookefield,Casual Dining,Good,3.6,239
Khana Khazana Thali Restaurant,700,Rajasthani,Bengaluru,Yelahanka,Casual Dining,Good,3.7,13
Rolls On Wheels,300,"Fast Food,Rolls,Momos",Bengaluru,JP Nagar,Quick Bites,Good,3.5,146
Food Ras,900,"North Indian,Chinese,Japanese,European,Seafood",Bengaluru,Electronic City,Casual Dining,Very Good,4.2,1417
Fab Cafe,550,"Cafe,Fast Food",Bengaluru,Rajarajeshwari Nagar,Café,Very Good,4.1,471
Cafe Palnad,400,"South Indian,Fast Food",Bengaluru,Electronic City,Quick Bites,Very Good,4.1,106
Rasana,250,"Fast Food,North Indian",Bengaluru,HSR,Quick Bites,Good,3.5,14
Gogula's Sweets & Chats,200,"Mithai,Street Food,Fast Food",Bengaluru,BTM,Sweet Shop,Very Good,4.0,230
Udupi Uphara,200,South Indian,Bengaluru,Jalahalli,Quick Bites,None,NEW,NEW
Kairali Restaurant,200,Kerala,Bengaluru,Bellandur,Quick Bites,Good,3.9,105
Cafe Terra,500,"Cafe,Continental,Fast Food",Bengaluru,Indiranagar,Café,Very Good,4.1,412
Eat Self Serve,300,"North Indian,South Indian,Fast Food,Sandwich",Bengaluru,Yelahanka,Quick Bites,Very Good,4.0,72
Kitchen of Joy,400,"Fast Food,Bengali,Rolls",Bengaluru,Indiranagar,Quick Bites,Very Good,4.2,587
Kadak Biryanis & Grill,500,"North Indian,Chinese",Bengaluru,Jakkur,Quick Bites,Good,3.9,56
Kamat's Palate Korner,600,"North Indian,Chinese",Bengaluru,Richmond Road,Casual Dining,Very Good,4.1,127
Chaatimes,200,"Street Food,Fast Food",Bengaluru,JP Nagar,Quick Bites,Good,3.9,107
Wadiyares,700,"Andhra,North Indian,Biryani",Bengaluru,Rajarajeshwari Nagar,Casual Dining,Good,3.6,11
North Masala,400,"North Indian,Chinese",Bengaluru,Bommanahalli,Quick Bites,Average,3.4,11
Koel's Pizzeria,300,Pizza,Bengaluru,Hennur,Quick Bites,Very Good,4.1,283
Bengaluru Coffee House,300,"South Indian,North Indian,Chinese,Street Food",Bengaluru,Banashankari,Quick Bites,Very Good,4.1,217
Eurasia Pasta and Barbeque by Little Italy,1200,"Italian,Fast Food,Salad,BBQ",Bengaluru,Jayanagar,Casual Dining,Very Good,4.0,1074
Zam Zam Restaurant,400,"Chinese,North Indian",Bengaluru,Banaswadi,Quick Bites,Average,3.1,7
Flow - Terrace Bar & Grill,1000,"Pizza,Continental,North Indian,Chinese",Bengaluru,JP Nagar,Lounge,Good,3.8,82
Purani Dilli,300,"North Indian,Chinese",Bengaluru,HSR,Quick Bites,Average,3.2,4
