_NAME_,_PRICE_,_CUSINE_CATEGORY_,_CITY_,_REGION_,_URL_,_PAGE_NO_,_CUSINE_TYPE_,_TIMING_,_RATING_TYPE_,_RATING_,_VOTES_
"""Laxmi Sandwich & Pizza Centre""","""100""","""Chinese,Fast Food""","""Aurangabad""","""Ulkanagari""","""https://www.zomato.com/aurangabad/laxmi-sandwich-pizza-centre-ulkanagari/info""","""28""","""Quick Bites""","""5pm to 2am(Mon-Sun)""","""None""","""NEW""","""NEW"""
"""Hotel Naivedya""","""450""","""North Indian""","""Aurangabad""","""Waluj""","""https://www.zomato.com/aurangabad/hotel-naivedya-waluj/info""","""28""","""Casual Dining""","""1130am to 330pm,7pm to 11pm(Mon-Sun)""","""Average""","""3.2""","""21"""
"""Kings Fast Food Centre""","""200""","""Fast Food""","""Aurangabad""","""Usmanpura""","""https://www.zomato.com/aurangabad/kings-fast-food-centre-usmanpura/info""","""29""","""Quick Bites""","""430pm to 11pm(Mon-Sun)""","""Average""","""3.4""","""34"""
"""The Cheesy Bond Cafe""","""200""","""Pizza,Fast Food,Beverages""","""Aurangabad""","""CIDCO""","""https://www.zomato.com/aurangabad/the-cheesy-bond-cafe-cidco/info""","""29""","""Café""","""11am to 11pm(Mon-Sun)""","""Average""","""3.1""","""9"""
"""Indian Hotel""","""500""","""Chinese""","""Aurangabad""","""Usmanpura""","""https://www.zomato.com/aurangabad/indian-hotel-usmanpura/info""","""29""","""Quick Bites""","""1130am to 12midnight(Mon-Sun)""","""Average""","""3.0""","""14"""
"""Bawarchi Dum Biryani""","""500""","""Biryani,Kebab""","""Aurangabad""","""Nirala Bazar""","""https://www.zomato.com/aurangabad/bawarchi-dum-biryani-nirala-bazar/info""","""29""","""Quick Bites""","""1130am to 1115pm(Mon-Sun)""","""Good""","""3.7""","""39"""
"""Hotel Sagar Palace""","""350""","""North Indian""","""Aurangabad""","""CIDCO""","""https://www.zomato.com/aurangabad/hotel-sagar-palace-cidco/info""","""29""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Average""","""3.3""","""13"""
"""Hotel Gaurav Maratha""","""200""","""North Indian,Chinese""","""Aurangabad""","""Nyay Nagar""","""https://www.zomato.com/aurangabad/hotel-gaurav-maratha-nyay-nagar/info""","""29""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Good""","""3.6""","""36"""
"""Adil's Chinese Corner""","""150""","""Chinese""","""Aurangabad""","""Shahgunj""","""https://www.zomato.com/aurangabad/adils-chinese-corner-shahgunj/info""","""29""","""Quick Bites""","""1145am to 11pm(Mon-Sun)""","""Average""","""3.1""","""7"""
"""Tuljai Swaypak Ghar""","""400""","""North Indian""","""Aurangabad""","""Usmanpura""","""https://www.zomato.com/aurangabad/tuljai-swaypak-ghar-usmanpura/info""","""29""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Average""","""3.4""","""18"""
"""Supriya Restaurant & Bar""","""450""","""North Indian,Chinese""","""Aurangabad""","""Nirala Bazar""","""https://www.zomato.com/aurangabad/supriya-restaurant-bar-nirala-bazar/info""","""29""","""Casual Dining""","""11am to 1130pm(Mon-Sun)""","""Good""","""3.7""","""17"""
"""Golden Star Bakery""","""200""","""North Indian""","""Aurangabad""","""Shahgunj""","""https://www.zomato.com/aurangabad/golden-star-bakery-shahgunj/info""","""29""","""Casual Dining""","""10am to 11pm(Mon-Sun)""","""Good""","""3.6""","""18"""
"""Hotel Mrignayani""","""800""","""North Indian,Chinese""","""Aurangabad""","""Waluj""","""https://www.zomato.com/aurangabad/hotel-mrignayani-waluj/info""","""29""","""Casual Dining""","""7am to 12midnight(Mon-Sun)""","""Good""","""3.6""","""20"""
"""UBQ by Barbeque Nation""","""450""","""North Indian,BBQ,Biryani,Kebab""","""Aurangabad""","""Chikalthana""","""https://www.zomato.com/aurangabad/ubq-by-barbeque-nation-chikalthana/info""","""29""","""none""","""12noon to 3pm,7pm to 11pm(Mon-Sun)""","""Average""","""3.4""","""5"""
"""Meraki""","""1400""","""North Indian,Biryani""","""Aurangabad""","""Gadia Vihar""","""https://www.zomato.com/aurangabad/meraki-gadia-vihar/info""","""29""","""Lounge""","""11am to 11pm(Mon-Sun)""","""Average""","""2.7""","""26"""
"""Hotel Prem Popular Punjab""","""800""","""North Indian""","""Aurangabad""","""MIDC""","""https://www.zomato.com/aurangabad/hotel-prem-popular-punjab-midc/info""","""29""","""Quick Bites""","""11am to 1130pm(Mon-Sun)""","""Good""","""3.6""","""14"""
"""Hotel Surya""","""600""","""North Indian,Chinese""","""Aurangabad""","""CIDCO""","""https://www.zomato.com/aurangabad/hotel-surya-cidco/info""","""29""","""Casual Dining""","""11am to 11pm(Mon-Sun)""","""Good""","""3.5""","""17"""
"""Hotel Green Olive""","""1000""","""Continental,Chinese,Biryani,North Indian,Maharashtrian,South Indian,Mexican""","""Aurangabad""","""Hotel Green Olive-- Nirala Bazar""","""https://www.zomato.com/aurangabad/hotel-green-olive-nirala-bazar/info""","""3""","""Casual Dining""","""7am to 10am,12noon to 630pm,7pm to 11pm(Mon...""","""Very Good""","""4.3""","""167"""
"""Nukkad""","""500""","""Cafe""","""Aurangabad""","""CIDCO""","""https://www.zomato.com/aurangabad/nukkad-1-cidco/info""","""3""","""Café""","""11am to 11pm(Mon-Sun)""","""Good""","""3.9""","""173"""
"""Mokoholic Juice Bar""","""300""","""Juices,Desserts""","""Aurangabad""","""Mondha""","""https://www.zomato.com/aurangabad/mokoholic-juice-bar-mondha/info""","""3""","""Dessert Parlor""","""11am to 11pm(Mon-Sun)""","""Very Good""","""4.2""","""137"""
"""Hotel VIP Maratha""","""500""","""Maharashtrian,North Indian""","""Aurangabad""","""CIDCO""","""https://www.zomato.com/aurangabad/hotel-vip-maratha-cidco/info""","""3""","""Casual Dining""","""11am to 11pm(Mon-Sun)""","""Good""","""3.8""","""222"""
